trading day, Stock price
1006,80.3026
1007,80.2936
1008,78.8034
1009,77.9246
1010,77.7603
1011,78.4612
1012,78.5225
1013,77.6378
1014,78.0817
1015,78.2234
1016,77.0748
1017,76.7071
1018,76.1199
1019,76.8937
1020,76.3578
1021,77.1347
1022,77.3334
1023,77.2515
1024,77.0723
1025,76.486
1026,77.7793
1027,78.678
1028,77.9281
1029,78.1696
1030,77.8345
1031,77.0386
1032,77.5879
1033,76.7176
1034,76.9462
1035,76.1433
1036,77.6574
1037,77.5844
1038,78.478
1039,78.2619
1040,80.0398
1041,80.9979
1042,82.9215
1043,83.0317
1044,83.1219
1045,84.0729
1046,84.0726
1047,84.7089
1048,84.7327
1049,83.9172
1050,84.0418
1051,84.3927
1052,83.7259
1053,83.7949
1054,83.4342
1055,82.9866
1056,83.6171
1057,86.044
1058,85.1918
1059,84.382
1060,83.8984
1061,84.2761
1062,84.0533
1063,85.1682
1064,86.8398
1065,87.7421
1066,88.404
1067,87.1015
1068,87.1057
1069,86.848
1070,86.4795
1071,87.2008
1072,87.81
1073,88.9302
1074,89.5621
1075,90.5077
1076,92.3409
1077,94.0197
1078,92.7764
1079,92.6823
1080,92.2589
1081,90.7216
1082,91.8958
1083,92.416
1084,92.5394
1085,93.6166
1086,92.8727
1087,92.9094
1088,94.8554
1089,94.5672
1090,97.1322
1091,96.8143
1092,98.0915
1093,98.5981
1094,98.6252
1095,101.418
1096,101.633
1097,102.538
1098,103.812
1099,102.883
1100,102.812
1101,102.293
1102,103.469
1103,104.187
1104,104.799
1105,105.096
1106,106.396
1107,105.761
1108,106.485
1109,105.764
1110,105.186
1111,103.46
1112,100.957
1113,99.9642
1114,98.2963
1115,97.1669
1116,95.5813
1117,94.8882
1118,94.2113
1119,94.1585
1120,93.445
1121,93.4463
1122,94.8962
1123,95.6793
1124,97.2048
1125,96.7568
1126,96.9898
1127,96.8246
1128,96.8585
1129,96.5058
1130,95.7682
1131,95.8251
1132,97.4234
1133,98.8014
1134,99.5943
1135,99.6355
1136,101.095
1137,100.505
1138,100.358
1139,99.1222
1140,98.5012
1141,98.9767
1142,97.7717
1143,98.4586
1144,98.4411
1145,98.1397
1146,98.2972
1147,97.2498
1148,94.8544
1149,95.3533
1150,96.0905
1151,96.7388
1152,97.2631
1153,97.8057
1154,97.496
1155,96.2609
1156,96.9049
1157,96.5039
1158,94.8675
1159,94.0674
1160,94.6929
1161,95.6092
1162,96.2123
1163,95.553
1164,95.2124
1165,94.2802
1166,94.8953
1167,96.1878
1168,97.1214
1169,98.2596
1170,99.4429
1171,101.38
1172,103.649
1173,104.796
1174,104.78
1175,104.632
1176,103.024
1177,105.303
1178,104.215
1179,106.099
